Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
E0,11/08/2018,Huddersfield,Chelsea,0,3,A,0,2,A,"C Kavanagh",6,13,1,4,9,8,2,5,2,1,0,0,6.5,4,1.61,6.25,3.9,1.57,6.2,4,1.55,6.41,4.02,1.62,5.8,3.9,1.57,6.5,4,1.62,38,6.85,6.09,4.07,3.9,1.66,1.61,37,2.05,1.98,1.9,1.84,23,1,1.84,1.8,2.13,2.06,7.24,3.95,1.58
E0,18/08/2018,Chelsea,Arsenal,3,2,H,2,2,D,"M Atkinson",24,15,11,6,12,9,5,1,0,2,0,0,1.8,4,4.5,1.78,3.8,4.5,1.8,3.8,4.2,1.83,3.97,4.46,1.83,3.75,4,1.8,4,4.5,41,1.87,1.81,4.02,3.85,4.54,4.29,39,1.75,1.68,2.25,2.17,21,-0.75,2.08,2.03,1.88,1.84,1.83,3.84,4.64
E0,26/08/2018,Newcastle,Chelsea,1,2,A,0,0,D,"P Tierney",6,15,2,3,16,8,4,5,3,1,0,0,5.75,4,1.66,5.25,3.8,1.67,5,3.75,1.7,5.49,4.06,1.68,5,3.75,1.67,5.5,4,1.67,42,5.75,5.25,4.17,3.9,1.71,1.67,40,1.95,1.88,2.01,1.92,22,1,1.76,1.71,2.28,2.18,6.66,4.25,1.57
E0,01/09/2018,Chelsea,Bournemouth,2,0,H,0,0,D,"L Mason",24,8,6,1,10,7,7,6,2,2,0,0,1.3,6,11,1.28,6,9.5,1.27,6,10,1.3,6.3,10.73,1.29,5.8,8.5,1.3,6,11,39,1.33,1.29,6.3,5.88,11,9.9,33,1.45,1.42,3,2.82,21,-1.75,2.07,2.01,1.9,1.85,1.32,5.98,10.48
E0,15/09/2018,Chelsea,Cardiff,4,1,H,2,1,H,"J Moss",18,6,7,2,8,10,5,4,0,0,0,0,1.18,8,19,1.19,7,15,1.2,6.8,15,1.19,7.4,18.5,1.17,7,15,1.18,7.5,21,39,1.21,1.18,8,7.2,21,17.53,37,1.55,1.51,2.65,2.53,24,-2,2.03,1.95,1.95,1.91,1.14,8.85,23
E0,23/09/2018,"West Ham",Chelsea,0,0,D,0,0,D,"M Dean",6,17,1,6,11,9,1,8,2,1,0,0,6,4.5,1.57,5.75,4.25,1.55,6.1,4.2,1.53,5.72,4.41,1.61,5,4.2,1.6,6,4.5,1.57,40,6.5,5.61,4.5,4.33,1.64,1.58,38,1.63,1.58,2.5,2.37,23,1,1.95,1.91,2,1.95,6.86,4.73,1.5
E0,29/09/2018,Chelsea,Liverpool,1,1,D,1,0,H,"A Marriner",10,13,4,6,7,9,4,4,0,2,0,0,2.8,3.6,2.54,2.85,3.5,2.4,2.85,3.3,2.5,2.86,3.55,2.58,2.8,3.5,2.45,2.8,3.6,2.55,40,2.92,2.81,3.65,3.52,2.62,2.49,38,1.7,1.64,2.35,2.25,22,0.25,1.8,1.74,2.22,2.16,2.83,3.51,2.63
E0,07/10/2018,Southampton,Chelsea,0,3,A,0,1,A,"C Pawson",15,21,6,6,13,11,4,12,6,0,0,0,6,4.1,1.61,6,3.9,1.6,5.3,3.9,1.65,6.02,4.13,1.63,5.5,4,1.62,6,4.2,1.6,36,6.19,5.75,4.3,4.07,1.65,1.61,35,1.85,1.79,2.1,2.03,21,1,1.9,1.84,2.08,2.03,6.92,4.19,1.56
E0,20/10/2018,Chelsea,"Man United",2,2,D,1,0,H,"M Dean",21,7,6,4,9,17,5,3,2,5,0,0,1.75,3.8,5.25,1.72,3.7,5,1.7,3.85,4.8,1.74,3.93,5.26,1.73,3.8,4.6,1.73,3.9,5.25,38,1.77,1.73,4.15,3.86,5.26,4.94,36,1.83,1.78,2.15,2.04,22,-1,2.33,2.27,1.71,1.67,1.77,3.9,5.01
E0,28/10/2018,Burnley,Chelsea,0,4,A,0,1,A,"C Pawson",7,24,1,8,14,10,4,4,4,2,0,0,11,5,1.36,11,4.75,1.33,7.6,4.8,1.4,10.84,4.89,1.37,9.5,4.75,1.36,11.5,5,1.33,37,11.5,10.06,5.1,4.84,1.4,1.36,35,1.85,1.79,2.1,2.02,17,1.5,1.85,1.8,2.14,2.07,9.53,4.52,1.43
E0,04/11/2018,Chelsea,"Crystal Palace",3,1,H,1,0,H,"M Oliver",15,7,6,2,6,13,4,2,0,1,0,0,1.25,6.75,13,1.26,6,11.5,1.25,6.1,11,1.27,6.18,11.51,1.29,6,9.5,1.29,6,12,38,1.3,1.27,6.75,6.07,13,11.34,32,1.55,1.51,2.7,2.53,20,-1.75,2.07,2.01,1.95,1.86,1.33,5.53,10.76
E0,11/11/2018,Chelsea,Everton,0,0,D,0,0,D,"K Friend",15,6,4,1,7,11,5,5,4,3,0,0,1.4,5.25,8.5,1.4,4.75,8,1.45,4.5,7,1.42,5.17,7.89,1.44,5,6.5,1.4,5,8,38,1.46,1.42,5.25,4.89,8.5,7.45,32,1.6,1.55,2.55,2.43,22,-1,1.7,1.65,2.37,2.29,1.4,5.04,8.94
E0,24/11/2018,Tottenham,Chelsea,3,1,H,2,0,H,"M Atkinson",18,13,9,2,19,12,4,4,0,3,0,0,2.8,3.5,2.6,2.7,3.5,2.55,2.75,3.4,2.55,2.87,3.5,2.6,2.8,3.4,2.5,2.88,3.5,2.55,38,2.88,2.78,3.55,3.42,2.65,2.56,36,1.8,1.74,2.18,2.09,20,0.25,1.77,1.72,2.24,2.19,3.09,3.44,2.47
E0,02/12/2018,Chelsea,Fulham,2,0,H,1,0,H,"C Pawson",16,9,9,4,8,17,4,6,2,1,0,0,1.18,8,17,1.16,8,16,1.2,6.5,15,1.18,7.92,15.58,1.17,7.5,17,1.18,8,15,38,1.21,1.18,8.5,7.65,19,15.63,32,1.4,1.35,3.4,3.18,22,-2,1.86,1.81,2.15,2.06,1.2,7.59,14.82
E0,05/12/2018,Wolves,Chelsea,2,1,H,0,1,A,"J Moss",6,17,2,3,18,10,1,5,4,4,0,0,5,3.75,1.8,4.75,3.7,1.75,4.5,3.6,1.8,4.85,3.82,1.81,4.8,3.7,1.75,5,3.8,1.8,38,5.06,4.7,3.9,3.71,1.83,1.78,35,1.96,1.91,1.97,1.9,22,1,1.65,1.6,2.49,2.41,6.01,3.94,1.66
E0,08/12/2018,Chelsea,"Man City",2,0,H,1,0,H,"M Oliver",8,14,5,4,12,11,1,13,2,0,0,0,4,3.8,1.95,3.9,3.7,1.91,4,3.6,1.9,4,3.75,1.99,3.8,3.7,1.95,3.9,3.8,2,38,4.2,3.85,3.8,3.67,2,1.95,35,1.75,1.69,2.26,2.17,20,0.75,1.73,1.7,2.31,2.24,3.56,3.47,2.22
E0,16/12/2018,Brighton,Chelsea,1,2,A,0,2,A,"S Attwell",6,10,2,3,14,6,4,1,2,2,0,0,7.5,4.5,1.5,8,4.5,1.42,7.2,4.4,1.45,7.64,4.37,1.51,7,4.33,1.47,7.5,4.5,1.5,35,8.5,7.4,4.6,4.31,1.52,1.48,33,1.91,1.84,2.05,1.98,21,1,2.14,2.06,1.86,1.81,8.63,4.58,1.45
E0,22/12/2018,Chelsea,Leicester,0,1,A,0,0,D,"L Probert",17,8,5,3,10,9,9,5,0,2,0,0,1.33,5.5,11,1.33,5,10,1.35,5.3,8,1.33,5.42,11.37,1.3,5.25,11,1.33,5.5,11,36,1.36,1.33,5.5,5.23,11.39,10.39,34,1.75,1.67,2.32,2.21,23,-1.5,2.02,1.97,1.95,1.89,1.34,5.48,10.52
E0,26/12/2018,Watford,Chelsea,1,2,A,1,1,D,"M Atkinson",10,10,2,4,15,5,3,4,1,0,0,0,5.25,3.8,1.75,5,3.8,1.7,4.7,3.85,1.73,5.08,3.92,1.76,4.8,3.75,1.73,5,3.8,1.75,37,5.27,4.89,3.95,3.8,1.79,1.74,35,1.8,1.74,2.21,2.1,23,1,1.71,1.66,2.4,2.28,5.74,4.01,1.67
E0,30/12/2018,"Crystal Palace",Chelsea,0,1,A,0,0,D,"C Pawson",4,12,0,4,11,8,3,4,0,1,0,0,4.75,4,1.66,5,3.8,1.7,4.8,3.7,1.75,5.17,3.87,1.76,5,3.8,1.7,5.25,3.9,1.73,37,5.25,4.96,4,3.8,1.77,1.73,35,1.92,1.86,2.04,1.96,22,1,1.71,1.66,2.36,2.3,5.19,3.79,1.77
E0,02/01/2019,Chelsea,Southampton,0,0,D,0,0,D,"J Moss",17,6,6,2,8,11,7,2,1,2,0,0,1.28,6.5,11,1.28,5.75,10.5,1.33,5.5,8.5,1.27,6.08,12.2,1.25,6,12,1.29,6,13,36,1.33,1.27,6.5,5.94,13.5,11.58,34,1.55,1.51,2.7,2.52,23,-1.5,1.87,1.78,2.16,2.09,1.26,6.11,12.48
E0,12/01/2019,Chelsea,Newcastle,2,1,H,1,1,D,"C Kavanagh",10,9,6,2,6,13,8,5,1,1,0,0,1.22,7,15,1.22,6.25,13.5,1.25,6.1,11,1.22,6.67,15.97,1.2,7,13,1.22,6.5,17,38,1.26,1.23,7,6.35,17,14.63,37,1.75,1.68,2.35,2.21,24,-2,2.32,2.25,1.75,1.68,1.2,6.8,19.3
E0,19/01/2019,Arsenal,Chelsea,2,0,H,2,0,H,"A Taylor",13,13,5,1,13,15,5,6,0,2,0,0,3.1,3.6,2.37,3,3.5,2.3,2.95,3.6,2.3,3.09,3.65,2.37,3,3.5,2.3,3.1,3.6,2.38,36,3.11,3.01,3.66,3.54,2.4,2.34,35,1.71,1.67,2.31,2.21,20,0.25,1.89,1.86,2.09,2.02,3.36,3.49,2.3
E0,30/01/2019,Bournemouth,Chelsea,4,0,H,0,0,D,"R East",12,11,7,7,8,6,3,7,1,0,0,0,5.25,4.2,1.66,5.5,4.1,1.6,5.2,3.9,1.65,5.55,4.26,1.64,5.5,4,1.62,5.75,4.2,1.65,36,5.75,5.42,4.35,4.1,1.67,1.63,35,1.75,1.68,2.3,2.2,22,1,1.89,1.81,2.12,2.07,5.71,4.15,1.64
E0,02/02/2019,Chelsea,Huddersfield,5,0,H,2,0,H,"P Tierney",23,5,7,2,8,5,11,2,0,0,0,0,1.2,7.5,19,1.17,7.5,16.5,1.17,7.5,15,1.22,6.93,14.33,1.18,7,17,1.2,7,19,35,1.23,1.2,7.5,6.81,19,15.53,33,1.7,1.63,2.41,2.27,22,-2,2.16,2.07,1.93,1.79,1.23,6.54,15.2
E0,10/02/2019,"Man City",Chelsea,6,0,H,4,0,H,"M Dean",15,12,9,4,9,13,2,2,1,2,0,0,1.5,4.75,7,1.48,4.5,6.5,1.55,4,6.2,1.51,4.63,6.91,1.5,4.4,6.5,1.53,4.6,6.5,34,1.55,1.5,4.75,4.45,7.04,6.57,32,1.67,1.62,2.45,2.29,22,-1,1.87,1.81,2.13,2.06,1.58,4.25,6.44
E0,27/02/2019,Chelsea,Tottenham,2,0,H,0,0,D,"A Marriner",11,9,1,0,7,14,2,2,1,1,0,0,2.3,3.5,3.25,2.3,3.4,3.1,2.4,3.4,2.9,2.3,3.48,3.38,2.25,3.4,3.2,2.3,3.5,3.3,35,2.4,2.28,3.52,3.4,3.38,3.23,34,1.9,1.84,2.07,1.98,19,-0.25,2,1.95,1.98,1.92,2.38,3.29,3.4
E0,03/03/2019,Fulham,Chelsea,1,2,A,1,2,A,"G Scott",12,20,5,7,11,10,5,4,2,1,0,0,6.5,4.5,1.53,6,4.33,1.53,6,4.4,1.53,6.49,4.68,1.53,6.5,4.33,1.5,7,4.5,1.53,34,7,6.25,4.68,4.43,1.55,1.52,33,1.75,1.68,2.31,2.21,20,1,2.09,2.02,1.9,1.84,8.62,4.85,1.43
E0,10/03/2019,Chelsea,Wolves,1,1,D,0,0,D,"M Oliver",22,2,6,1,8,14,13,0,1,4,0,0,1.55,4.2,7,1.55,4,6.5,1.45,4.4,7.2,1.59,4.04,6.93,1.55,4,6.5,1.6,4,7,34,1.6,1.56,4.4,4.03,7.2,6.53,33,1.99,1.9,2,1.92,21,-1,2.03,1.96,2.05,1.91,1.61,3.89,7.04
E0,17/03/2019,Everton,Chelsea,2,0,H,0,0,D,"A Taylor",15,16,8,5,17,9,3,4,1,2,0,0,4,3.8,1.95,4.1,3.6,1.9,4.4,3.5,1.85,4.12,3.64,1.99,4,3.5,1.95,4.2,3.6,1.95,35,4.4,4,3.8,3.57,2,1.95,34,2,1.92,1.95,1.89,20,0.75,1.72,1.68,2.31,2.25,4.68,3.75,1.85
E0,31/03/2019,Cardiff,Chelsea,1,2,A,0,0,D,"C Pawson",8,21,3,3,8,14,2,7,2,3,0,0,9,4.5,1.44,7.5,4.33,1.45,8.3,4.6,1.4,8.23,4.64,1.46,8,4.5,1.42,8.5,4.5,1.45,34,9.05,8.08,4.65,4.47,1.47,1.44,33,1.82,1.77,2.15,2.06,22,1.5,1.71,1.67,2.34,2.25,9.28,4.7,1.42
E0,03/04/2019,Chelsea,Brighton,3,0,H,1,0,H,"G Scott",17,3,4,1,5,9,7,1,0,0,0,0,1.25,6.5,15,1.26,5.75,11.5,1.25,6.1,11,1.27,5.71,15.03,1.25,5.8,13,1.29,5.75,15,35,1.29,1.26,6.5,5.79,15.5,13.11,33,1.75,1.7,2.25,2.16,21,-1.5,1.9,1.84,2.08,2.03,1.3,5.54,12.69
E0,08/04/2019,Chelsea,"West Ham",2,0,H,1,0,H,"C Kavanagh",16,9,7,2,8,7,7,4,2,1,0,0,1.33,5.75,9.5,1.34,5.25,9,1.4,4.8,7.5,1.32,5.82,10.48,1.3,5.5,10,1.3,5.5,11,34,1.4,1.33,6,5.55,11,9.25,32,1.56,1.52,2.65,2.51,20,-1.5,2.05,1.9,2.04,1.96,1.25,6.86,13.14
E0,14/04/2019,Liverpool,Chelsea,2,0,H,0,0,D,"M Oliver",15,6,7,3,5,9,9,2,0,1,0,0,1.66,4.2,5.25,1.67,4,5,1.65,4,5,1.68,4.12,5.46,1.63,4,5.25,1.65,4.1,5.5,35,1.71,1.66,4.25,4.05,5.5,5.2,34,1.86,1.77,2.13,2.06,21,-1,2.23,2.15,1.8,1.74,1.75,3.81,5.4
E0,22/04/2019,Chelsea,Burnley,2,2,D,2,2,D,"K Friend",22,6,9,3,9,4,10,1,2,1,0,0,1.25,6.25,15,1.26,6,11,1.25,6.1,11,1.25,6.33,13.71,1.25,5.8,13,1.25,6.25,13,32,1.29,1.26,6.6,5.95,15,12.42,30,1.66,1.62,2.4,2.29,19,-1.5,1.84,1.77,2.15,2.1,1.24,6.46,14.91
E0,28/04/2019,"Man United",Chelsea,1,1,D,1,1,D,"M Atkinson",7,16,5,3,9,14,6,6,3,2,0,0,2.7,3.5,2.7,2.65,3.4,2.65,2.65,3.4,2.6,2.73,3.43,2.77,2.62,3.4,2.7,2.63,3.5,2.75,35,2.75,2.67,3.5,3.38,2.8,2.69,33,1.92,1.85,2.05,1.97,18,-0.25,2.36,2.31,1.72,1.66,2.77,3.38,2.76
E0,05/05/2019,Chelsea,Watford,3,0,H,0,0,D,"P Tierney",19,15,9,3,6,12,6,6,0,1,0,0,1.4,5.25,8,1.4,4.75,8,1.4,4.95,7.7,1.39,5.14,8.58,1.38,4.8,8.5,1.4,5,9,34,1.42,1.4,5.3,4.95,9,8.13,32,1.64,1.6,2.45,2.34,22,-1.5,2.21,2.14,1.8,1.74,1.31,5.98,10.83
E0,12/05/2019,Leicester,Chelsea,0,0,D,0,0,D,"A Taylor",9,14,3,4,9,8,4,5,0,1,0,0,2.4,3.75,2.9,2.35,3.6,2.85,2.35,3.5,2.9,2.44,3.65,2.93,2.38,3.6,2.88,2.4,3.7,2.9,35,2.45,2.4,3.75,3.57,3.05,2.89,34,1.75,1.7,2.26,2.16,19,-0.5,2.45,2.38,1.65,1.62,2.42,3.63,2.98
